LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES
27826,38.7533328,-9.4454539,MN3,2.0,3.0,7.0,0.2857142857142857,0.42857142857142855
22917,52.833,106.667,MN2,2.0,1.0,3.0,0.6666666666666666,0.3333333333333333
22935,48.0,80.5,MN3,2.0,4.0,4.0,0.5,1.0
23445,38.529,26.625,MN6,1.0,2.0,2.0,0.5,1.0
23383,40.773,33.907,MN13,1.0,0.0,1.0,1.0,0.0
26843,31.15,-6.5,MN13,1.0,1.0,1.0,1.0,1.0
21442,39.267,-8.783,MN7-8,1.0,1.0,2.0,0.5,0.5
22367,39.267,-8.783,MN9,0.0,0.0,3.0,0.0,0.0
26836,31.3131,-6.5842,MN6,6.0,4.0,6.0,1.0,0.6666666666666666
26837,31.183333333333298,-7.0833333333333295,MN6,6.0,4.0,6.0,1.0,0.6666666666666666
26838,31.0833333333333,-7.0,MN6,1.0,1.0,1.0,1.0,1.0
26845,31.0833333333333,-6.5,MN15,2.0,2.0,2.0,1.0,1.0
28320,42.22343274625828,25.31181335449219,MN12,1.0,2.0,12.0,0.08333333333333333,0.16666666666666666
27996,39.619166666666665,46.988611111111105,MQ18,16.0,6.0,19.0,0.8421052631578947,0.3157894736842105
27998,39.619166666666665,46.988611111111105,MQ18,13.0,5.0,17.0,0.7647058823529411,0.29411764705882354
28005,39.619166666666665,46.999722222222225,MQ18,2.0,1.0,2.0,1.0,0.5
23431,39.531,31.648000000000003,MN14,0.0,2.0,2.0,0.0,1.0
21620,42.7,11.1,MN12,0.0,1.0,1.0,0.0,1.0
28250,42.7908109,11.3653196,MN13,0.0,1.0,1.0,0.0,1.0
20203,42.7,11.1,MN11,2.0,0.0,3.0,0.6666666666666666,0.0
20202,42.7,11.1,MN11,8.0,0.0,8.0,1.0,0.0
20200,42.7,11.1,MN12,2.0,8.0,10.0,0.2,0.8
20201,42.7,11.1,MN13,8.0,8.0,17.0,0.47058823529411764,0.47058823529411764
21713,43.25,0.933,MN7-8,0.0,0.0,2.0,0.0,0.0
21024,37.5,-2.5,MN13,4.0,0.0,7.0,0.5714285714285714,0.0
28270,51.6204415,-3.9466286,MQ19,0.0,4.0,8.0,0.0,0.5
27568,42.4835439,-1.8295099,MN3,1.0,1.0,2.0,0.5,0.5
27536,41.418,0.6427,old,4.0,4.0,4.0,1.0,1.0
24410,48.3333,10.0106,MN4,0.0,0.0,1.0,0.0,0.0
24411,48.3333,10.0106,MN4,1.0,0.0,4.0,0.25,0.0
24412,48.3333,10.0106,MN4,1.0,0.0,7.0,0.14285714285714285,0.0
23308,39.532,32.912,MN7-8,3.0,3.0,8.0,0.375,0.375
24597,33.4,109.1,MN11,2.0,5.0,15.0,0.13333333333333333,0.3333333333333333
27460,42.71296638907409,2.82082557678223,MN15,1.0,1.0,1.0,1.0,1.0
23668,15.967,18.867,MN16,0.0,2.0,5.0,0.0,0.4
20005,48.1,2.15,MN5,2.0,7.0,33.0,0.06060606060606061,0.21212121212121213
